"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5162270 - Ysgol Gynradd Pentrefoelas ",22,27.5,28.5,31,35.5,35.5
"","","","5162271 - Ysgol Bro Gwydir ",298,303,313.5,325.5,332.5,326
"","","","5162272 - Ysgol Nant Y Groes ",".",318.5,298.5,296.5,308,296.5
"","","","5162273 - Ysgol Swn Y Don ",".",121,125.5,125,120.5,112.5
"","","","5162274 - Ysgol Awel y Mynydd ",".",".",390.5,406.5,431,452.5
"","","","5162275 - Ysgol Dyffryn yr Enfys ",".",".",".",".",57.458333,111
"","","","5163020 - Ysgol Babanod Llanfairfechan ",126.5,128,124.5,121.5,116,106.5
"","","","5163021 - Ysgol Llangelynnin ",83,81.5,80.5,81.5,78,79
"","","","5163024 - Ysgol Pencae ",190,190,174,153.5,144,124
"","","","5163032 - Ysgol Ysbyty Ifan ",26,22.5,17.5,17,14,16
"","","","5163038 - St George Controlled Primary School ",63.5,69.5,63,66,69.5,66
"","","","5163039 - Ysgol Llanddoged ",41.5,34.5,40,45.5,40.5,36.5
"","","","5163040 - Ysgol Eglwysbach ",69,71,71,67,75,71
"","","","5163043 - Ysgol Porth y Felin ",295,301,311.5,320.5,329.5,332
"","","","5163059 - Ysgol Llanddulas Controlled ",151.5,149.5,155.5,151.5,145.5,156.5
"","","","5163062 - Betws Yn Rhos Primary School ",53.5,54.5,50.5,57.5,62.5,64
"","","","5163302 - Ysgol Bodafon ",103.5,98,97,98,99.5,82.5
"","","","5163303 - Blessed William Davies School ",125.5,129,115.5,104.5,109,102
"","","","5163307 - Ysgol San Sior ",219.5,228,228,231,231.5,231
"","","","5163333 - St Joseph's R.C. Primary School ",219,221,220,223,220,213
"","","","5163340 - Ysgol Y Plas ",60.5,69,82,73,81,82
"","","","5165201 - Ysgol Pen Y Bryn ",435,432,427.5,414.5,413.5,422.5
"","","","5169991 - Unallocated resources - primary ",".",".",".",".",".","."
"","","","5165500 - Establish new WM primary school on Dolgarrog site ",".",".",0,".",".","."
"","","Conwy - Middle ","5169996 - Unallocated resources - middle ",".",".",".",".",".","."
"","","Conwy - Secondary ","",6903,6771,6687,6630,6594,6622
"","","Conwy - Secondary ","5164022 - Ysgol John Bright ",1267,1242,1240,1269,1269,1246
"","","","5164023 - Ysgol Aberconwy ",749,796,794,787,799,826
"","","","5164035 - Ysgol Dyffryn Conwy ",674,669,658,659,654,654
"","","","5164038 - Ysgol Y Creuddyn ",664,646,622,573,548,583
"","","","5165400 - Ysgol Emrys Ap Iwan ",1181,1081,998,973,985,989
"","","","5165402 - Eirias High School ",1436,1375,1388,1383,1396,1357
"","","","5165403 - Ysgol Bryn Elian ",932,962,987,986,943,967
"","","","5169992 - Unallocated resources - secondary ",".",".",".",".",".","."
"","","Conwy - Special ","",185,200,200,230,235,245
"","","Conwy - Special ","5167001 - Canolfan Addysgol Y Gogarth ",".",".",".",".",".","."
"","","","5167006 - Ysgol-Y-Graig ",".",".",".",".",".","."
"","","","5167007 - Ysgol Y Gogarth / Y Graig ",185,200,200,230,235,245
"","","","5169993 - Unallocated resources - special ",".",".",".",".",".","."
"","Denbighshire ","","",15245.333333,15192.5,15166,15104.5,15182,15323.5
