"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 ","2020-21 "
"","","","5163032 - Ysgol Ysbyty Ifan ",183.310254,172.411753,161.099113,156.212222,160.950994,177.301829
"","","","5163038 - St George Controlled Primary School ",272.869631,275.603374,283.143294,281.45576,283.418283,293.816314
"","","","5163039 - Ysgol Llanddoged ",225.903986,224.768013,217.131438,238.306518,225.280027,235.027251
"","","","5163040 - Ysgol Eglwysbach ",286.380545,294.908377,306.096343,296.951604,313.657512,312.599323
"","","","5163043 - Ysgol Porth y Felin ",1153.640318,1178.035849,1214.616613,1236.25223,1251.777324,1290.741852
"","","","5163059 - Ysgol Llanddulas Controlled ",554.280344,548.646205,575.041469,568.427468,532.948335,598.545812
"","","","5163062 - Betws Yn Rhos Primary School ",247.285172,249.658237,233.492881,251.7625,260.93612,272.985923
"","","","5163302 - Ysgol Bodafon ",401.248986,383.902429,380.260567,384.073761,385.687619,340.355502
"","","","5163303 - Blessed William Davies School ",501.705549,506.514658,458.553196,428.846091,432.316396,434.745869
"","","","5163307 - Ysgol San Sior ",756.345761,771.751896,771.866605,787.932367,774.532283,790.432021
"","","","5163333 - St Joseph's R.C. Primary School ",754.245279,725.041813,720.042809,746.137144,738.2799,751.956488
"","","","5163340 - Ysgol Y Plas ",270.555754,291.950839,311.339937,293.154628,318.223091,335.737255
