"","","","","2015-16 ","2016-17 ","2017-18 ","2018-19 ","2019-20 "
"","","","5282387 - Monkton Priory CP School ",69,56,64.72621,81.40747,55.86985
"","","","5282388 - Ysgol Gelli Aur/Golden Grove ",33,23,21.27241,41.80727,73.96271
"","","","5282389 - Ysgol Glannau Gwaun ",9,9,39.44797,61.69297,48.17018
"","","","5282390 - Ysgol y Frenni ",11,2,1.02788,7.71449,28.06219
"","","","5282391 - Prendergast Community School ",43,42,50.92172,62.26765,77.73996
"","","","5282392 - Pennar Community School ",52,19,22.63538,40.35223,33.06395
"","","","5282393 - Neyland Community School ",1,3,21.82857,45.20104,26.99886
"","","","5282394 - Hakin Community Primary School ",33,10,0,".","."
"","","","5282395 - Hafan-y-Mor ",".",65,47.56971,49.60414,48.39683
"","","","5282396 - Milford Haven Community Primary School ",".",".",".",45.12351,106.44735
"","","","5282397 - Waldo Williams Primary School ",".",".",".",".",48.06944
"","","","5283033 - Angle V.C. School ",-17,-47,0,".","."
"","","","5283034 - Burton V.C.P. School ",".",".",".",".","."
"","","","5283035 - Cilgerran V.C.P. School ",54,76,56.67791,67.17368,42.27083
"","","","5283036 - Cosheston V.C.P. School ",28,24,37.00123,35.29963,19.13456
"","","","5283038 - Jeffreyston V.C.P School ",".",".",".",".","."
"","","","5283040 - Cleddau Reach V.C.P School ",26,43,52.11952,46.19252,40.85555
"","","","5283042 - Manorbier V.C.P. School ",15,1,-6.81067,0.86088,24.6774
"","","","5283043 - Manordeifi Upper V.C.P. School ",".",".",".",".","."
"","","","5283044 - Tredafydd V.C.P. School ",".",".",".",".","."
"","","","5283046 - Mathry V.C.P. School ",".",".",".",".","."
"","","","5283047 - Penally V.C.P. School ",".",".",".",".","."
"","","","5283050 - Spittal V.C.P. School ",48,33,30.86338,15.21702,-23.97099
"","","","5283051 - Stackpole V.C.P. School ",16,3,0,".","."
"","","","5283052 - Tenby Infants V.C. School ",25,0,".",".","."
"","","","5283053 - Haverfordwest CIW Voluntary Controlled School ",15,-37,-30.65491,0,"."
"","","","5283054 - Letterston V.C. School ",".",".",".",".","."
"","","","5283055 - St Florence V.C. School ",42,38,1.00904,1.22624,4.50361
"","","","5283057 - Hubberston V.C. School ",10,4,0,".","."
"","","","5283058 - Ysgol Ger y Llan ",19,40,41.8127,48.50869,43.24041
"","","","5283059 - Tenby Church in Wales ",".",63,64.01476,48.84859,30.34428
"","","","5283060 - Penrhyn Church in Wales Voluntary Controlled School ",".",".",33.74215,9.26005,-27.99174
"","","","5283061 - Gelliswick Church in Wales Voluntary Controlled Primary School ",".",".",25.57163,-13.53876,44.22938
"","","","5283310 - Ysgol Bro Dewi V.A. ",19,17,1.07968,0,"."
"","","","5283310.1 - St David's V.A.P. ",".",".",".",".","."
"","","","5283311 - Holy Name Catholic Primary School ",94,63,51.77101,50.6758,31.84137
"","","","5283312 - St Mary's Catholic Primary School ",8,19,29.63916,30,0
"","","","5283313 - Mary Immaculate Catholic Primary School ",66,35,33.75215,4.3945,-19.93831
"","","","5283314 - St Francis Catholic Primary School ",39,39,34.03903,44.91368,41.55529
"","","","5283315 - St Aidans V.A.P. School ",82,48,37.30234,14.15505,50.44029
"","","","5283319 - St Teilos Catholic Primary School ",14,3,6.56617,0.62162,1.83846
"","","","5283320 - St Marks V.A.P. School ",13,17,26.78317,24.16701,35.07142
"","","","5283321 - St Oswalds CIW Voluntary Aided School ",37,16,37.91203,16.9483,32.89267
"","","Pembrokeshire - Secondary ","",105,-160,-87.00639,455,644
"","","Pembrokeshire - Secondary ","5284031 - Ysgol Bro Gwaun ",99,178,152.10693,41,104
"","","","5284034 - Ysgol Dewi Sant ",-34,-16,12.12138,0,"."
"","","","5284035 - The Greenhill School ",-56,-196,-196.70072,19,100
"","","","5284038 - Pembroke School ",-5,70,94.27917,28,77
"","","","5284055 - Sir Thomas Picton School ",113,96,163.55322,0,"."
"","","","5284063 - Milford Haven School ",92,13,-98.55387,-120,105
"","","","5284064 - Ysgol y Preseli ",7,-140,-46.75428,222,237
"","","","5284511 - Tasker-Milward V.C. School ",-111,-165,-167.05822,0,"."
"","","","5284512 - Haverfordwest High VC School ",".",".",".",265,21
"","","Pembrokeshire - Middle ","",".",".",".",9,-113
"","","Pembrokeshire - Middle ","5285500 - Ysgol Caer Elen ",".",".",".",-21,-190
"","","","5285900 - Ysgol yr Eglwys yng Nghymru Penrhyn Dewi ",".",".",".",30,77
"","","Pembrokeshire - Special ","5287001 - Portfield Special School ",98,86,163,180,35
"","Carmarthenshire ","","",3676.508,1710.042,1515.061,-393.336,-2001.016
"","Carmarthenshire ","Carmarthenshire - Nursery ","",19.422,36.945,45.544,40.007,64.227
"","","Carmarthenshire - Nursery ","5301000 - Ammanford Nursery ",19.422,36.945,45.544,40.007,64.227
"","","","5301002 - Bryn Nursery School ",".",".",".",".","."
"","","Carmarthenshire - Primary ","",2202.862,820.207,1187.691,133.449000000001,-805.404
"","","Carmarthenshire - Primary ","5302000 - Cefneithin C.P. ",-10.852,-26.005,-27.061,-60.933,-54.011
"","","","5302001 - Ysgol Gynradd Drefach ",17.111,-1.952,12.102,-0.538,26.336
"","","","5302002 - Maesybont C.P. School ",-91.68,-100.178,-76.225,-59.539,0
"","","","5302003 - Llechyfedach C.P. School ",40.55,28.297,-12.007,-19.641,-10.738
"","","","5302004 - Ysgol Gynradd Mynyddcerrig ",".",".",".",".","."
"","","","5302005 - Cwmgwili C.P. School ",".",".",".",".","."
"","","","5302006 - Ysgol Gynradd Y Tymbl ",47.743,8.94,8.968,-0.663,9.149
"","","","5302007 - Ysgol Gynradd Gorslas ",8.337,-8.128,0.488,-32.558,-7.62
"","","","5302008 - Cross Hands C.P. School ",6.535,7.385,27.851,33.257,22.992
"","","","5302009 - Llangain C.P. School ",14.558,6.286,-2.994,-7.955,-18.673
"","","","5302012 - Ysgol Gynradd Idole ",".",".",".",".","."
"","","","5302014 - Ysgol Gynradd Peniel ",26.601,45.714,58.068,31.189,18.586
"","","","5302017 - Ysgol Gynradd Llangyndeyrn ",".",".",".",".","."
"","","","5302018 - Ysgol Gynradd Bancffosfelen ",-1.205,-13,12.639,19.77,27.986
"","","","5302019 - Gwynfryn CP School ",22.872,18.199,20.962,31.27,27.815
"","","","5302020 - Carway C.P. School ",14.522,32,28.392,28.586,52.019
"","","","5302023 - Pontiets C.P. School ",42.23,37.795,16.936,21.54,51.791
"","","","5302024 - Ysgol Gynradd Ponthenri ",17.042,12.795,24.379,34.278,40.827
"","","","5302034 - Bancyfelin C.P. School ",7.679,5.403,9.824,-29.174,-44.735
"","","","5302036 - Llangynin C.P. School ",".",".",".",".","."
"","","","5302037 - Meidrim C.P. School ",-1.139,-2.473,6.592,23.038,9.045
"","","","5302038 - Ammanford  Junior School ",".",".",".",".","."
"","","","5302039 - Ammanford Infants School ",".",".",".",".","."
"","","","5302042 - Ysgol Gynradd Saron ",4.826,6.99,17.993,49.708,18.406
"","","","5302043 - Betws C.P. School ",44.319,37.543,30.701,28.722,24.031
"","","","5302044 - Ysgol Gynradd Ty-croes ",8.191,-21.81,8.172,19.119,-31.54
"","","","5302047 - Glanamman C.P. School ",".",".",".",".","."
"","","","5302049 - Ysgol Cefnbrynbrain ",".",".",".",".","."
"","","","5302050 - Ysgol Gynradd Parcyrhun ",41.52,48.269,58.273,45.901,56.7
"","","","5302052 - Ysgol Gynradd Blaenau ",-42.964,-57.751,-92.441,-98.912,-83.895
"","","","5302053 - Garnant Primary School ",".",".",".",".","."
"","","","5302055 - Ysgol Gynradd Ystradowen ",".",".",".",".","."
"","","","5302056 - Nantygroes C.P. School ",".",".",".",".","."
"","","","5302057 - Ysgol Gynradd Llanedi ",53.971,34.13,40.329,48.472,39.585
"","","","5302058 - Ysgol Babanod Y Twyn ",".",".",".",".","."
"","","","5302060 - Cwmifor C.P. School ",".",".",".",".","."
"","","","5302061 - Ysgol Gynradd Ffairfach ",18.114,0.809,0.431,7.766,42.318
"","","","5302065 - Talley C.P School ",1.922,27.882,47.556,35.215,7.963
"","","","5302067 - Cwrt Henri ",-7.894,-1.256,8.843,9.23,-1.566
"","","","5302068 - Ysgol Gynradd Trapp ",".",".",".",".","."
"","","","5302069 - Ysgol Gynradd Brechfa ",".",".",".",".","."
"","","","5302071 - Ysgol Gynradd  Llansawel ",0,".",".",".","."
"","","","5302076 - Ysgol Gynradd Ffarmers ",".",".",".",".","."
"","","","5302077 - Caio C.P. School ",".",".",".",".","."
"","","","5302078 - Ysgol Gynradd Llanycrwys ",".",".",".",".","."
"","","","5302080 - Llangadog C.P. School ",18.479,-2.664,3.27,28.74,28.388
"","","","5302082 - Llansadwrn C.P. School ",-0.933,14.474,0,".","."
"","","","5302084 - Ysgol Rhys Pritchard ",9.236,5.735,18.189,19.227,-15.018
"","","","5302087 - Ysgol Gynradd Llanwrda ",-34.223,-26.534,0,".","."
"","","","5302088 - Ysgol Gynradd Coedmor ",".",".",".",".","."
"","","","5302092 - Ysgol G. Rhydcymerau ",".",".",".",".","."
"","","","5302093 - Henllan Amgoed C.P. School ",".",".",".",".","."
"","","","5302096 - Ysgol Gynradd Llanboidy ",".",".",".",".","."
"","","","5302098 - Ysgol Llys Hywel ",4.937,22.666,29.467,16.54,28.173
"","","","5302100 - Ysgol Gynradd Cwmbach ",".",".",".",".","."
"","","","5302102 - Ysgol Capel Iwan ",".",".",".",".","."
"","","","5302104 - Ysgol Gynradd Brynsaron ",35.535,2.79,-40.519,-38.636,-93.816
"","","","5302105 - Ysgol Gynradd Alltwalis ",".",".",".",".","."
"","","","5302106 - Ysgol Gynradd New Inn ",".",".",".",".","."
"","","","5302107 - Ysgol Cae'r Felin ",".",".",".",".","."
"","","","5302109 - Llanpumsaint School ",26.315,10.844,10.52,14.557,-0.093
"","","","5302112 - Ysgol G. Mynyddygarreg ",13.669,-7.315,-13.244,-36.052,-48.265
"","","","5302113 - Ysgol Gynradd Llansaint ",".",".",".",".","."
"","","","5302114 - Johnstown C.P. School ",55.181,-18.664,-10.886,4.87,3.85
"","","","5302116 - Ysgol Y Dderwen ",-1.182,-3.244,-20.575,7.944,-24.245
"","","","5302119 - Llanmiloe C.P. School ",13.494,8.411,24.972,29.625,24.658
"","","","5302120 - Bryn C.P. School ",-34.432,-146.934,-150.557,-305.84,-389.365
"","","","5302121 - Ysgol Gynradd Bynea ",17.774,56.383,89.613,67.652,84.116
"","","","5302123 - Dafen Primary School ",-32.607,-59.232,-43.142,-78.318,-74.517
"","","","5302124 - Ysgol Iau Felinfoel ",".",".",".",".","."
"","","","5302125 - Ysgol Y Babanod Felinfoel ",".",".",".",".","."
"","","","5302126 - Llwynhendy Junior School ",".",".",".",".","."
"","","","5302128 - Ysgol Gynradd Pum Heol ",36.126,45.757,67.399,24.593,-7.872
"","","","5302129 - Llangennech  Infants School ",55.913,17.448,0,".","."
"","","","5302130 - Llangennech Junior School ",60.446,21.103,0,".","."
"","","","5302131 - Hendy C.P. School ",17.475,-19.184,-46.313,-18.448,-15.6
"","","","5302135 - Furnace C.P. School ",220.696,52.729,72.184,36.193,95.191
"","","","5302136 - Ysgol Yr Ynys ",".",".",".",".","."
"","","","5302152 - Copperworks Infant & Nursery School ",-31.59,0,".",".","."
"","","","5302156 - Morfa C.P. Junior Mix School ",".",".",".",".","."
"","","","5302158 - Morfa Infants &  Nursery School ",".",".",".",".","."
"","","","5302159 - Old Road C.P. Primary School ",23.842,-26.695,0.956,11.39,5.324
"","","","5302165 - Lakefield C.P. School ",83.534,0,".",".","."
"","","","5302166 - Ysgol Llansteffan ",7.28,2.443,11.821,4.066,-0.232
"","","","5302167 - Ysgol Gynradd Llannon ",43.271,33.067,25.484,55.672,33.837
"","","","5302168 - Ysgol Gymraeg Brynsierfel ",43.751,-18.428,-15.68,-25.433,-34.7
"","","","5302169 - Brynamman Primary School ",50.729,48.93,57.005,58.16,47.036
"","","","5302170 - Abernant C.P. School ",2.402,-8.764,1.44,13.882,-9.553
"","","","5302171 - Myrddin C.P. School ",73.048,29.538,58.627,32.566,-42.934
"","","","5302172 - Ysgol Gynradd Llanarthne ",".",".",".",".","."
"","","","5302173 - Llangunnor C.P. School ",42.187,54.144,53.995,49.469,35.521
"","","","5302175 - Trimsaran C.P. School ",69.857,56.662,18.442,16.854,56.101
"","","","5302176 - Swiss Valley C.P. School ",-4.033,-29.879,-38.661,-69.623,-57.375
"","","","5302177 - Parc Y Tywyn School ",46.054,43.117,54.665,63.284,40.35
"","","","5302178 - Pembrey C.P. School ",13.938,34.078,27.965,18.297,30.126
"","","","5302179 - Ysgol Gymraeg Rhydaman ",50.913,48.763,-45.841,-77.213,-51.579
"","","","5302180 - Ysgol Beca ",27.606,30.488,27.092,21.444,41.964
"","","","5302181 - Llandybie C.P. School ",26.137,46.445,43.735,67.773,70.765
"","","","5302182 - Ysgol Gynradd Hafodwenog ",38.046,24.024,14.463,17.732,19.674
"","","","5302183 - Ysgol Teilo Sant ",30.524,35.653,55.485,56.013,90.947
"","","","5302184 - Llanybydder C.P. School ",-14.707,25.946,16.868,-8.559,-33.843
"","","","5302185 - Llandeilo C.P. School ",56.914,30.739,56.114,63.761,31.298
"","","","5302187 - Cynwyl Elfed School ",16.067,-5.407,-13.137,-15.463,-9.843
"","","","5302188 - Halfway C.P. School ",73.922,45.727,69.628,58.06,106.195
"","","","5302189 - Pwll C.P. School ",11.68,25.811,25.969,-38.518,6.825
"","","","5302190 - Penygaer Primary School ",51.572,28.099,54.535,-7.387,-72.781
"","","","5302192 - Ysgol Y Castell ",-3.033,0.942,43.308,24.068,-17.401
"","","","5302193 - Penygroes C.P. School ",18.422,11.437,33.278,41.532,28.879
"","","","5302194 - Y.G. Nantgaredig ",-11.976,-77.644,-84.596,-99.114,-115.102
"","","","5302370 - Ysgol Gymraeg Gwenllian ",11.038,17.122,7.172,32.083,1.908
"","","","5302371 - Ysgol Gymraeg Dewi Sant ",-75.489,-97.417,-39.847,-0.112,57.38
"","","","5302373 - Pontyberem C.P. School ",39.649,-8.577,-22.789,-38.57,-66.513
"","","","5302374 - Bigyn C.P. School ",-27.475,-33.99,22.303,-27.456,-34.339
"","","","5302375 - Stebonheath C.P. School ",41.807,37.099,38.391,45.737,1.317
"","","","5302377 - Burryport Junior School ",".",".",".",".","."
"","","","5302379 - Ysgol Y Ddwylan ",71.111,77.58,108.054,118.802,68.076
"","","","5302380 - Richmond Park Primary School ",-33.343,-41.353,-33.999,-73.044,-106.964
"","","","5302381 - Burry Port Infants ",".",".",".",".","."
"","","","5302384 - Ysgol Griffith Jones ",63.38,39.384,23.015,38.602,22.701
"","","","5302385 - Ysgol y Fro ",9.976,5.256,11.67,27.399,-8.835
"","","","5302386 - Ysgol Carreg Hirfaen ",30.778,1.785,21.723,10.592,9.411
"","","","5302387 - Cae'r Felin Community School ",19.708,21.447,-21.914,-69.12,-113.511
"","","","5302388 - Ysgol Y Bedol ",78.785,61.042,46.683,-50.193,-143.509
"","","","5302389 - Ysgol Bro Brynach ",9.496,8.029,6.961,19.9,29.741
"","","","5302390 - Ysgol Bryn Teg ",3.729,-100.468,-84.81,-43.247,9.312
"","","","5302391 - Ysgol Y Felin ",54.099,61.396,113.235,51.193,51.928
"","","","5302392 - Ysgol Bro Banw ",14.537,64.139,67.885,6.132,-103.698
"","","","5302393 - Maes Yr Morfa Community Primary School ",-0.145,-59.571,-5.631,-13.108,-54.924
"","","","5302394 - Burry Port Community Primary School ",-0.542,3.366,21.963,-3.988,-53.367
"","","","5302395 - Delta ",".",6.22,-41.272,-117.203,-165.52
"","","","5302396 - Ysgol Gymraeg Llangennech ",".",".",-57.539,-17.142,11.481
"","","","5303000 - Abergwili Voluntary Controlled Primary School ",32.081,-6.134,-16.663,-33.376,-46.759
"","","","5303002 - Tremoilet V.C.P. ",35.664,37.665,27.948,15.156,0
"","","","5303003 - Laugharne V.C.P. School ",34.084,37.497,34.055,18.943,49.114
"","","","5303004 - Ysgol Gynradd Wirfoddol Llanddarog ",-4.204,-3.25,10.81,-1.85,-33.174
"","","","5303008 - Ysgol Capel Cynfab ",".",".",".",".","."
"","","","5303009 - Ysgol Llanfihangel Ar Arth ",".",".",".",".","."
"","","","5303013 - Ferryside V.C.P. School ",23.521,27.366,26.912,-4.371,-23.615
"","","","5303017 - Ysgol Gynradd Wirfoddol Myddfai ",".",".",".",".","."
"","","","5303022 - Llanddowror V.C.P. School ",".",".",".",".","."
"","","","5303025 - Llangynog V.C.P. School ",".",".",".",".","."
"","","","5303026 - Ysgol Gynradd Wirfoddol Llanllwni ",-2.038,-2.422,2.193,-18.362,-36.027
"","","","5303032 - Cilycwm V.C.P. School ",".",".",".",".","."
"","","","5303300 - St Mary's R.C. Primary School (Llanelli) ",44.454,46.407,57.647,14.732,21.232
"","","","5303301 - St Mary's R.C. Primary School (Carmarthen) ",17.636,0.543,-4.546,-12.518,-52.403
"","","","5303302 - Llanfynydd V.A.P. School ",0,".",".",".","."
"","","","5303307 - Ysgol Wirfoddol Penboyr ",35.163,30.576,64.82,15.329,4.931
"","","","5303321 - Pentip V.A. C.I.W. Primary School ",45.004,-4.171,34.342,16.185,-118.227
"","","","5303322 - Model C.I.W. School ",29.233,3.952,-3.19,-36.184,-0.406
"","","Carmarthenshire - Secondary ","",1519.729,855.684,172.385,-747.078,-955.489999999999
"","","Carmarthenshire - Secondary ","5304024 - Ysgol Gyfun Pantycelyn ",".",".",".",".","."
"","","","5304028 - Ysgol Gyfun Tregib ",".",".",".",".","."
"","","","5304029 - Amman Valley School ",213.995,16.726,-30.081,-149.962,-268.536
"","","","5304050 - Coedcae School ",-182.025,-114.59,108.761,139.623,158.39
"","","","5304052 - Ysgol Gyfun Y Strade ",206.373,156.015,132.189,18.79,93.369
"","","","5304053 - Glan-y-Mor School ",28.056,231.366,321.009,336.129,375.124
"","","","5304054 - Bryngwyn School ",417.022,535.296,276.472,545.569,913.141
"","","","5304056 - Ysgol Gyfun Gymraeg Bro Myrddin ",142.674,183.244,203.41,33.748,81.024
"","","","5304057 - Queen Elizabeth Cambria ",".",".",".",".","."
"","","","5304058 - Queen Elizabeth Maridunum ",".",".",".",".","."
"","","","5304060 - Ysgol Gyfun Emlyn ",-33.494,-140.183,-312.381,-512.197,-809.353
"","","","5304061 - Ysgol Gyfun Maes Yr Yrfa ",".",".",".",".","."
"","","","5304062 - Ysgol Y Gwendraeth ",".",".",".",".","."
"","","","5304063 - Queen Elizabeth High School ",24.299,57.622,-60.47,-88.029,-121.865
"","","","5304064 - Ysgol Maes y Gwendraeth ",-32.721,-121.448,-104.538,-260.4,-446.892
"","","","5304065 - Ysgol Bro Dinefwr ",170.695,-94.426,-507.826,-737.119,-747.583
"","","","5304512 - Ysgol Gyfun Dyffryn Taf ",108.563,81.942,132.084,66.174,99.13
"","","","5304600 - St John Lloyd Catholic Comprehensive School ",456.292,64.12,13.756,-139.404,-281.439
"","","Carmarthenshire - Middle ","",".",".",".",".","."
"","","Carmarthenshire - Special ","",-65.505,-2.79400000000001,109.441,180.286,-304.349
"","","Carmarthenshire - Special ","5307000 - Heol Goffa Special School ",87.358,80.002,62.107,-42.533,-473.846
"","","","5307010 - Rhydygors School & Support Services ",-152.863,-82.796,47.334,222.819,169.497
"","Swansea ","","",9546.70747,7574.76661,7100.70676,8600.43173,7729.30783
"","Swansea ","Swansea - Nursery ","",".",".",".",".","."
"","","Swansea - Nursery ","5321002 - Bryn Nursery School ",".",".",".",".","."
"","","","5321003 - Margaret Street Nursery ",".",".",".",".","."
"","","Swansea - Primary ","",7026.48347,5433.32275,5310.96284,5694.09194,4697.85448
"","","Swansea - Primary ","5322003 - Brynhyfryd Junior School ",16.30037,".",".",".","."
"","","","5322005 - Brynhyfryd Infants School ",18.22635,".",".",".","."
"","","","5322006 - Brynmill Primary School ",65.418,8.577,19.635,25.094,4.657
"","","","5322008 - Cadle Primary School ",39.855,37.793,84.275,114.693,89.48
"","","","5322010 - Cwm Primary School ",".",".",".",".","."
"","","","5322012 - Cwmbwrla Primary School ",".",".",".",".","."
"","","","5322014 - Cwmrhydyceirw Primary School ",206.03,190.928,160.069,144.054,159.128
"","","","5322017 - Danygraig Primary School ",2.983,50.888,41.255,60.649,50.19108
"","","","5322018 - Dunvant Junior School ",".",".",".",".","."
"","","","5322021 - Gendros Primary School ",93.3248,89.3318,32.4078,52.4798,20.0448
"","","","5322023 - Glais Primary School ",89.75217,59.99417,64.34817,42.89417,44.54017
"","","","5322024 - Gors Community Junior School ",".",".",".",".","."
"","","","5322025 - Gors Community Infants School ",".",".",".",".","."
"","","","5322026 - Graig Infants School ",".",".",".",".","."
"","","","5322027 - Grange Primary School ",76.19498,84.33298,50.56998,40.67998,37.36398
